Transfers of major conventional arms from China   to All countries . Deals with deliveries made for the year range '2000' to '2025' 
A '?' in a column indicates uncertain data. The 'Deliveries in the Year Range' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 2:55:04 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Deliveries in the Year Range, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Syria,China,2008,?,4,?,Type-120,air-search radar,4,?,2009,New,,5,20,20
Syria,China,2008,?,1,?,JYL-1,air-search radar,1,?,2009,New,,13.5,13.5,13.5
Syria,China,2013,?,500,?,Red Arrow-73,anti-tank missile,500,?,2014,New,Red Arrow-73D version,0.01,5,5
Tajikistan,China,2017,?,10,?,VP-11,armoured personnel carrier,10,?,2018,New,Possibly aid,0.15,1.5,1.5
Tajikistan,China,2017,,10,?,Tiger,armoured personnel carrier,10,?,2018,New,Possibly aid,0.15,1.5,1.5
Tajikistan,China,2018,?,10,?,VN-3,armoured personnel carrier,10,?,2019,New,Possibly aid,0.14,1.4,1.4
Tajikistan,China,2024,?,100,?,HQ-17,surface-to-air missile,100,?,2025,New,For HQ-17AE surface-to-air missile system,0.25,25,25
Tajikistan,China,2024,?,1,?,HQ-17A,surface-to-air missile system,1,?,2025,New,HQ-17AE version,50,50,50
Tanzania,China,2000,?,4,?,CJ-6,trainer aircraft,4,?,2002,New,PT-6A version,0.19,0.76,0.76
Tanzania,China,2002,?,2,,Y-8,transport aircraft,2,,2003,New,Y-8F-200 version,23,46,46
Tanzania,China,2019,?,5,?,VT-2,tank,5,?,2021,New,,3,15,15
Tanzania,China,2012,?,24,?,Type-63A,light tank,24,?,2013,New,,1.25,30,30
Tanzania,China,2012,?,1,?,YLC-18,air-search radar,1,?,2013,New,Designation uncertain,7.5,7.5,7.5
Tanzania,China,2019,?,1,?,JYL-1,air-search radar,1,?,2021,New,,13.5,13.5,13.5
Tanzania,China,2010,?,10,?,WZ-551,armoured personnel carrier,10,?,2011; 2012,New,Probably incl command post version,0.35,3.5,3.5
Tanzania,China,2012,?,1,?,FB-6,surface-to-air missile system,1,?,2013,New,,2,2,2
Tanzania,China,2010,?,6,?,K-8,trainer/combat aircraft,6,?,2011; 2012,New,,3.5,21,21
Tanzania,China,2007,?,30,?,Type-59G,tank,30,?,2011; 2013,New,Tanzanian Type-59 rebuilt to Type-59G,2.5,75,75
Tanzania,China,2005,?,4,?,ZFB-05,armoured personnel carrier,4,?,2006; 2007,New,,0.13,0.52,0.52
Tanzania,China,2013,?,10,?,PLL-05 120mm,self-propelled mortar,10,?,2014,New,,0.9,9,9
Tanzania,China,2013,?,5,?,Type-84,armoured bridgelayer,5,?,2014,New,Type-84A version,0.9,4.5,4.5
Tanzania,China,2014,,2,,Type-037-1/Haiqing,patrol boat,2,,2015,Second hand,Probably second-hand,10,20,20
Tanzania,China,2008,?,14,?,F-7MG,fighter aircraft,14,?,2009; 2011; 2012,New,F-7TN version; incl 2 FT-7TN version,12.5,175,175
Tanzania,China,2017,?,12,,ZFB-05,armoured personnel carrier,12,?,2017,New,Designation uncertain (reported as 'armoured combat vehicle'),0.13,1.56,1.56
Tanzania,China,2012,?,12,?,A-100 300mm,multiple rocket launcher,12,?,2013,New,,2.2,26.4,26.4
Tanzania,China,2012,?,50,?,FN-6,portable surface-to-air missile,50,?,2013,New,For FB-6 SAM system,0.08,4,4
Thailand,China,2017,,7,?,VT-4 ARV,armoured recovery vehicle,7,?,2017; 2018; 2019; 2023,New,For use with VT-4 tanks,1.8,12.6,12.6
Thailand,China,2012,?,,,WS-3A 300mm,guided rocket,207,?,2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,New,For WS-1 (DTi-1) multiple rocket launchers,0.08,0,16.56
Thailand,China,2019,,3,,Type-07P,infantry fighting vehicle,3,?,2021,New,Part of THB2.3 b ($74 m) deal,1.3,3.9,3.9
Thailand,China,2015,,2,?,RA-3,artillery locating radar,2,?,2016,New,,8,16,16
Thailand,China,2019,,1,,Type-071,amphibious assault ship,1,,2023,New,THB4-6.1 b ($130-200 m) deal; Type-071E version; Thai designation Chang,127.5,127.5,127.5
Thailand,China,2019,?,120,?,HQ-22,surface-to-air missile,120,?,2022,New,For FK-3 air-defence system,1,120,120
Thailand,China,2016,,1,,KS-1A,surface-to-air missile system,1,?,2016,New,KS-1C version,47,47,47
Thailand,China,2012,?,4,,SR-5,multiple rocket launcher,4,?,2013,New,SR-4 version; Thai designation PR-50,2.2,8.8,8.8
Thailand,China,2019,?,1,?,HQ-22,surface-to-air missile system,1,?,2022,New,FK-3 version,55,55,55
Thailand,China,2017,,34,,Type-07P,infantry fighting vehicle,34,,2019,New,Part of THB2.3 b ($57 m) deal,1.3,44.2,44.2
Thailand,China,2019,,12,,PLL-05 120mm,self-propelled mortar,12,?,2021,New,Part of THB2.3 b ($74 m) deal,0.9,10.8,10.8
Thailand,China,2002,,2,,Pattani,patrol ship,2,,2005; 2006,New,EUR75-80 m ($66-95 m) deal,63.25,126.5,126.5
Thailand,China,2016,,50,?,KS-1,surface-to-air missile,50,?,2016,New,For KS-1 SAM system; KS-1C version,0.17,8.5,8.5
Thailand,China,2007,?,60,?,C-802,anti-ship missile,60,?,2009; 2012; 2013; 2014,New,For modernized Chao Phraya frigates,0.9,54,54
Thailand,China,2019,,26,,Type-07,armoured personnel carrier,26,?,2020; 2021,New,Part of THB2.3 b ($74 m) deal; incl 9 ARV; 12 command post; 3 ambulance and 2 maintenance versions,0.35,9.1,9.1
Thailand,China,2020,,3,,ZTD-05,light tank,3,,2021,New,THB398 m ($13 m) deal; VN-16 version,2.25,6.75,6.75
Thailand,China,2017,,1,,S-26,submarine,,,,New,THB13.5 b ($390 m) deal; S-26T version; delivery planned 2028,0,0,0
Thailand,China,2017,,4,,Type-07,armoured personnel carrier,4,,2019,New,Part of THB2.3 b ($57 m) deal; VS-27 ARV version,0.35,1.4,1.4
Thailand,China,2008,?,18,?,WS-1B 302mm,multiple rocket launcher,18,?,2011; 2016; 2017; 2018; 2019,New,Produced under licence in Thailand as DTi-1,1.2,21.6,21.6
Thailand,China,1999,?,28,?,C-801,anti-ship missile,28,,2000,New,Designation uncertain,0.75,21,21
Thailand,China,2016,,60,,VT-4,tank,60,?,2017; 2018; 2019; 2023,New,,4.3,258,258
Thailand,China,2024,,2,,SR-5,multiple rocket launcher,,,,New,SR-4 version; Thai designation PR-50,2.2,4.4,0
Timor-Leste,China,2008,,2,,Type-062,patrol boat,2,,2010,New,$28 m deal; Timor-Leste designation Jaco,9,18,18
Trinidad and Tobago,China,2015,,1,,Type-718/Haijing,patrol ship,1,,2015,Second hand,Second-hand; Trinidad designation Nelson,16,16,16
Turkiye,China,1997,?,24,?,WS-1B 302mm,multiple rocket launcher,8,?,2000,New,$250 m deal; incl 5 (and rockets) assembled/produced under licence in Turkiye,1.2,28.8,9.6
Turkiye,China,1999,,200,?,B-611,surface-to-surface missile,200,?,2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,New,$300 m deal; produced under licence in Turkiye as Yildirim or Project-J or J-600T; possibly incl B-611M version,1.35,270,270
Turkmenistan,China,2016,?,1,?,DWL-002,air-search system,1,?,2017,New,,12,12,12
Turkmenistan,China,2016,?,50,?,QW-2,portable surface-to-air missile,50,?,2017,New,,0.07,3.5,3.5
Turkmenistan,China,2015,?,1,?,HQ-9,surface-to-air missile system,1,?,2016,New,FD-2000 version,47,47,47
Turkmenistan,China,2015,?,70,?,HQ-9,surface-to-air missile,70,?,2016,New,For FD-2000 SAM system,1,70,70
Turkmenistan,China,2015,?,50,?,FM-90,surface-to-air missile,50,?,2016,New,For FM-90 SAM system,0.15,7.5,7.5
Turkmenistan,China,2015,?,1,?,FM-90,surface-to-air missile system,1,?,2016,New,,16,16,16
Turkmenistan,China,2015,?,1,?,YLC-2,air-search radar,1,?,2016,New,YLC-2V version,12,12,12
Turkmenistan,China,2015,?,1,?,YLC-18,air-search radar,1,?,2016,New,,7.5,7.5,7.5
Turkmenistan,China,2015,?,2,?,WJ-600,(armed) reconnaissance drone,2,?,2016,New,,3,6,6
Turkmenistan,China,2015,?,1,?,KS-1A,surface-to-air missile system,1,?,2016,New,,47,47,47
Turkmenistan,China,2015,?,10,?,AR-1,air-to-surface missile,10,?,2016,New,For CH-3 UAV,0.05,0.5,0.5
Turkmenistan,China,2015,?,50,?,KS-1,surface-to-air missile,50,?,2016,New,For KS-1A SAM system; possibly KS-1C version,0.17,8.5,8.5
Turkmenistan,China,2015,?,10,?,CM-502KG,air-to-surface missile,10,?,2016,New,For WJ-600 UCAV/UAV,0.15,1.5,1.5
Turkmenistan,China,2015,?,2,?,CH-3,armed drone,2,?,2016,New,,2.4,4.8,4.8
Uganda,China,2021,?,2,?,WZ-551,armoured personnel carrier,2,?,2021,New,VN-2C version,0.35,0.7,0.7
Uganda,China,2008,?,5,?,Type-85-IIM,tank,5,?,2008,New,,2.7,13.5,13.5
United Arab Emirates,China,2018,?,6,?,SR-5,multiple rocket launcher,6,?,2020,New,,2.2,13.2,13.2
United Arab Emirates,China,2011,?,25,?,Wing Loong-1,armed drone,25,?,2013; 2014; 2015; 2016; 2017,New,,3,75,75
United Arab Emirates,China,2017,,500,?,Blue Arrow-7,anti-tank missile,500,?,2017; 2018; 2019; 2020,New,For Wing Loong-2 UCAV,0.04,20,20
United Arab Emirates,China,2018,?,6,?,AH-4 155mm,towed gun,6,?,2019,New,,1,6,6
United Arab Emirates,China,2023,,,,AR-3,multiple rocket launcher,,,,New,AED902 m ($245 m) deal,0,0,0
United Arab Emirates,China,2017,,15,?,Wing Loong-2,armed drone,15,?,2017; 2018,New,,4,60,60
United Wa State (Myanmar)*,China,2012,?,25,?,FN-6,portable surface-to-air missile,25,?,2014,New,,0.08,2,2
unknown recipient(s),China,2025,?,,,Type-59-1 130mm,towed gun,,,,Second hand,Second-hand; delivery planned 2026,0.28,0,0
Uzbekistan,China,2013,,30,?,Blue Arrow-7,anti-tank missile,30,?,2014,New,For Wing Loong UAV,0.04,1.2,1.2
Uzbekistan,China,2024,,50,?,KS-1,surface-to-air missile,50,?,2025,New,For KS-1C air-defence system,0.17,8.5,8.5
Uzbekistan,China,2024,,50,?,FM-90,surface-to-air missile,50,?,2025,New,For FM-90 air-defence system,0.15,7.5,7.5
Uzbekistan,China,2013,,5,?,Wing Loong-1,armed drone,5,?,2014,New,,3,15,15
Uzbekistan,China,2017,?,1,?,HQ-9,surface-to-air missile system,1,?,2018,New,FD-2000 version,47,47,47
Uzbekistan,China,2017,,70,?,HQ-9,surface-to-air missile,70,?,2018,New,For FD-2000 SAM system,1,70,70
Uzbekistan,China,2023,?,1,?,KS-1A,surface-to-air missile system,1,?,2024,New,KS-1C version,47,47,47
Uzbekistan,China,2024,?,1,?,FM-90,surface-to-air missile system,1,?,2025,New,,16,16,16
Venezuela,China,2006,?,7,?,JYL-1,air-search radar,7,?,2008; 2009,New,,13.5,94.5,94.5
Venezuela,China,2012,?,18,?,SR-5,multiple rocket launcher,18,?,2014; 2015,New,Part of $500 m deal,2.2,39.6,39.6
Venezuela,China,2005,,3,?,JYL-1,air-search radar,3,?,2006; 2007,New,Part of $150 m programme for military-civilian air-surveillance system,13.5,40.5,40.5
Venezuela,China,2008,,3,?,JY-11,air-search radar,3,?,2010; 2011,New,JY-11B version,7.5,22.5,22.5
Venezuela,China,2008,,18,,K-8,trainer/combat aircraft,18,,2010,New,,3.5,63,63
Venezuela,China,2008,?,100,?,PL-5E,short-range air-to-air missile,100,?,2010,New,For K-8 trainer/combat aircraft,0.11,11,11
Venezuela,China,2011,,8,,Y-8,transport aircraft,8,,2012; 2013; 2014,New,Y-8F-200W version,23,184,184
Venezuela,China,2012,,121,?,VN-4,armoured personnel carrier,121,?,2012; 2013; 2014; 2015,New,For National Guard,0.16,19.36,19.36
Venezuela,China,2012,,68,?,Type-07P,infantry fighting vehicle,68,?,2014; 2015; 2016,New,Part of $500 m deal; VN-1 version,1.3,88.4,88.4
Venezuela,China,2012,,9,?,ZTD-05,light tank,9,?,2015,New,Part of $500 m deal; VN-16 version,2.25,20.25,20.25
Venezuela,China,2012,,23,?,ZBD-05,infantry fighting vehicle,23,?,2015,New,Part of $500 m deal; VN-18 version,1.25,28.75,28.75
Venezuela,China,2012,?,250,?,Red Arrow-73,anti-tank missile,250,?,2015,New,Red Arrow-73D version for VN-18 infantry fighting vehicles,0.01,2.5,2.5
Venezuela,China,2017,?,30,?,C-802A,anti-ship/land-attack missile,30,?,2023,New,For POVZEE (Avante-2200 or Guaiquerí) patrol ships,1,30,30
Venezuela,China,2014,?,9,,K-8,trainer/combat aircraft,9,,2016,New,K-8W or K-8VV version,3.5,31.5,31.5
Zambia,China,2006,,5,,Y-12,light transport aircraft,5,,2006; 2007,New,Y-12-IV version,2.5,12.5,12.5
Zambia,China,2005,?,2,?,MA-60,transport aircraft,2,?,2006,New,,8,16,16
Zambia,China,2014,?,40,?,PL-5E,short-range air-to-air missile,40,?,2016; 2017,New,,0.11,4.4,4.4
Zambia,China,2011,?,7,,Z-9,helicopter,7,?,2012,New,$105 m deal,3.25,22.75,22.75
Zambia,China,2000,?,10,?,Type-89,infantry fighting vehicle,10,?,2000,New,,0.9,9,9
Zambia,China,2000,?,5,?,Type-89/ZSD-89,armoured personnel carrier,5,?,2000,New,Recovery or incl recovery version,0.3,1.5,1.5
Zambia,China,2020,?,6,?,CS/VP3,armoured personnel carrier,6,?,2020,New,For police,0.3,1.8,1.8
Zambia,China,2007,?,5,?,WZ-551,armoured personnel carrier,5,?,2008,New,WZ-551B version,0.35,1.75,1.75
Zambia,China,2014,?,50,?,LS-6-500,guided glide bomb,50,?,2016; 2017,New,For L-15 combat/trainer aircraft,0.03,1.5,1.5
Zambia,China,2014,?,50,?,YJ-9E,air-to-surface missile,50,?,2016; 2017,New,For L-15 combat/trainer aircraft,0.28,14,14
Zambia,China,2010,?,8,,K-8,trainer/combat aircraft,8,,2012,New,,3.5,28,28
Zambia,China,2014,?,6,,L-15,trainer/combat aircraft,6,,2016; 2017,New,L-15Z (L-15AFT) version,7.6,45.6,45.6
Zambia,China,1998,?,8,,K-8,trainer/combat aircraft,8,,2000,New,,3.5,28,28
Zimbabwe,China,2005,,6,,K-8,trainer/combat aircraft,6,,2005,New,Bought after UK refused to sell spare parts for Hawk trainer/combat aircraft in service in Zimbabwe,3.5,21,21
Zimbabwe,China,2006,,6,,K-8,trainer/combat aircraft,6,,2006,New,,3.5,21,21
Zimbabwe,China,2023,?,8,?,Assaulter,fire-support vehicle,8,?,2023,New,Aid,1.3,10.4,10.4
Zimbabwe,China,2004,?,10,?,Type-85,infantry fighting vehicle,10,?,2004,New,,0.9,9,9
Zimbabwe,China,2023,?,8,?,WZ-551,infantry fighting vehicle,8,?,2023,New,Aid,0.9,7.2,7.2
Zimbabwe,China,2023,?,8,?,WZ-551,armoured personnel carrier,8,?,2023,New,Aid,0.35,2.8,2.8
Zimbabwe,China,2004,?,10,?,Type-85,armoured personnel carrier,10,?,2004,New,,0.3,3,3
Zimbabwe,China,2004,?,5,?,Type-89/ZSD-89,armoured personnel carrier,5,?,2004,New,Recovery version,0.3,1.5,1.5
